folder_name,subject_code,subject_name,grade,class_code,class_room,semester,day_time,classification,credit
経営学部,T2183000,オペレーションズ・リサーチ,3年・4年,X1,自－２０２,前期,火Ⅲ,選択,2
経営学部,T2185000,ロジスティクス論,3年・4年,X1,自－別２０３,後期,月Ⅰ,選択,2
経営学部,T2190000,ミクロ経済学,2年・3年・4年,X1,自－３１１,前期,月Ⅲ,選択,2
経営学部,T2191000,コンピュータ概論２,1年・2年・3年・4年,X1,自－３１１,前期,月Ⅱ,選択,2
経営学部,T2194000,経営情報セキュリティ論,2年・3年・4年,X1,自－２０４,前期,水Ⅱ,選択,2
経営学部,T2195000,経営情報ネットワーク論,3年・4年,X1,自－２０４,前期,金Ⅱ,選択,2
経営学部,T2196000,情報技術及び演習２,1年・2年・3年・4年,X1,自－２０１,後期,木Ⅰ・木Ⅱ,選択,3
経営学部,T2198000,技術経営論,2年・3年・4年,X1,自－別２０３,後期,火Ⅰ,選択,2
経営学部,T2198000,技術経営論,2年・3年・4年,Z9,自－別２０３,後期,火Ⅰ,選択,2
経営学部,T2199000,システムマネジメント論,3年・4年,X1,自－３１１,前期,水Ⅲ,選択,2
経営学部,T2203000,簿記２,1年・2年・3年・4年,11,自－２０４,後期,火Ⅰ,選択,2
経営学部,T2203000,簿記２,1年・2年・3年・4年,21,自－２０４,後期,水Ⅰ,選択,2
経営学部,T2204000,ビジネスマネジメント２,2年・3年・4年,X1,自－３１１,後期,水Ⅱ,選択,2
経営学部,T2207000,マーケティング論,2年・3年・4年,X1,自－２０３,前期,木Ⅱ,選択,2
経営学部,T2207000,マーケティング論,2年・3年・4年,Z9,自－２０３,前期,木Ⅱ,選択,2
経営学部,T2208000,ビジネス・シミュレーション及び演習,3年・4年,X1,自－３１０,後期,木Ⅲ・木Ⅳ,選択,3
経営学部,T2211000,職業指導,4年,X1,自－別２０３,前期,火Ⅱ,選択,2
経営学部,T2212000,税務会計論,3年・4年,X1,自－別２０３,後期,火Ⅳ,選択,2
経営学部,T2213000,サービスマネジメント,4年,X1,自－３０２,前期,水Ⅳ,選択,2
経営学部,T2214000,ものづくり経営論,4年,X1,自－３０３,前期,月Ⅲ,選択,2
経営学部,T2215000,ＩＴ戦略論,4年,X1,自－別２０１,前期,水Ⅱ,選択,2
経営学部,T2216000,ビジネスプレゼンテーション,1年・2年・3年・4年,11,自－３０１,前期,金Ⅰ,選択,2
経営学部,T2216000,ビジネスプレゼンテーション,1年・2年・3年・4年,21,自－３０１,前期,金Ⅱ,選択,2
経営学部,T2217000,ビジネスコミュニケーション,1年・2年・3年・4年,11,自－別２０３,後期,金Ⅰ,選択,2
経営学部,T2217000,ビジネスコミュニケーション,1年・2年・3年・4年,21,自－別２０３,後期,金Ⅱ,選択,2
経営学部,T2218000,システム監査論,3年・4年,X1,自－３１１,後期,水Ⅲ,選択,2
経営学部,T2219000,マーケティング戦略論及び演習１,3年・4年,X1,自－別２０３,前期,木Ⅰ・木Ⅱ,選択,3
経営学部,T2220000,マーケティング戦略論及び演習２,3年・4年,X1,自－別２０３,後期,水Ⅰ・水Ⅱ,選択,3
経営学部,T2221000,国際ビジネス論,2年・3年・4年,X1,自－３１１,後期,火Ⅱ,選択,2
経営学部,T2222000,国際マーケティング論,3年・4年,X1,自－２０４,後期,金Ⅰ,選択,2
経営学部,T2223000,ビジュアル・デザイン,2年・3年・4年,11,自－３０９,後期,金Ⅱ,選択,2
経営学部,T2223000,ビジュアル・デザイン,2年・3年・4年,21,自－３０９,後期,金Ⅲ,選択,2
経営学部,T2223000,ビジュアル・デザイン,2年・3年・4年,31,自－３１０,後期,金Ⅱ,選択,2
経営学部,T2223000,ビジュアル・デザイン,2年・3年・4年,41,自－３１０,後期,金Ⅲ,選択,2
経営学部,T2224000,財務管理論,2年・3年・4年,X1,自－２０４,後期,木Ⅱ,選択,2
経営学部,T2228000,情報社会及び情報倫理,1年・2年・3年・4年,X1,自－３１１,後期,月Ⅳ,選択,2
経営学部,T2229000,経済基礎知識,1年・2年・3年・4年,X1,自－３１１,前期,月Ⅳ,選択,2
経営学部,T2232000,インターンシップ,1年・2年・3年・4年,X1,,後期,集中,選択,2
経営学部,T3001000,経営統計学,1年・2年・3年・4年,X1,自－３１１,後期,火Ⅲ,選必,2
経営学部,T3002000,経営データ解析１,2年・3年・4年,X1,自－２０３,前期,金Ⅰ,選必,2
経営学部,T3003000,経営データ解析２,2年・3年・4年,X1,自－２０３,後期,金Ⅰ,選必,2
